input_text_ids,input_text,target_text,prefix
1004293:0,"Judging from previous posts this used to be a good place , but not any longer .",place ~ restaurant general,TAD
1004293:1,"We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",staff ~ service general,TAD
1004293:2,"They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",NULL ~ service general,TAD
1004293:3,The food was lousy - too sweet or too salty and the portions tiny .,food ~ food quality ~~ portions ~ food style_options,TAD
1004293:4,"After all that , they complained to me about the small tip .",NULL ~ service general,TAD
1004293:5,Avoid this place !,place ~ restaurant general,TAD
1014458:0,"I have eaten at Saul , many times , the food is always consistently , outrageously good .",food ~ food quality,TAD
1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn .,Saul ~ restaurant general,TAD
1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world .,duck confit ~ food quality ~~ foie gras terrine with figs ~ food quality,TAD
1014458:3,The wine list is interesting and has many good values .,wine list ~ drinks style_options ~~ wine list ~ drinks prices,TAD
1014458:4,"For the price , you cannot eat this well in Manhattan .",NULL ~ food quality ~~ NULL ~ restaurant prices,TAD
1016296:0,I was very disappointed with this restaurant .,restaurant ~ restaurant general,TAD
1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,cart attendant ~ service general,TAD
1016296:2,I had to ask her three times before she finally came back with the dish Ive requested .,NULL ~ service general,TAD
1016296:3,"Food was okay , nothing great .",Food ~ food quality,TAD
1016296:4,Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,Chow fun ~ food quality ~~ pork shu mai ~ food quality ~~ NULL ~ restaurant miscellaneous,TAD
1016296:5,I / we will never go back to this place again .,place ~ restaurant general,TAD
1028246:0,"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !",Fish ~ restaurant general,TAD
1028246:1,"Service was devine , oysters where a sensual as they come , and the price can ' t be beat ! ! !",Service ~ service general ~~ oysters ~ food quality ~~ NULL ~ restaurant prices,TAD
1028246:2,You can ' t go wrong here .,NULL ~ restaurant general,TAD
1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street .,Restaurant Saul ~ restaurant general,TAD
1032695:1,"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",service ~ service general ~~ NULL ~ food quality ~~ decor ~ ambience general,TAD
1032695:2,I had the duck breast special on my last visit and it was incredible .,duck breast special ~ food quality,TAD
1032695:3,Can ' t wait wait for my next visit .,NULL ~ restaurant general,TAD
1041457:1,And I hate to say this but I doubt I ' ll ever go back .,NULL ~ restaurant general,TAD
1041457:2,"The food is very average . . . the Thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",food ~ food quality ~~ Thai fusion stuff ~ food quality,TAD
1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,Grilled Chicken special with Edamame Puree ~ food quality,TAD
1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty ( could ' ve used a bit more salt ) .,Edamame pureed ~ food quality ~~ Edamame pureed ~ food style_options,TAD
1041457:6,"The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",decor ~ ambience general ~~ vent ~ ambience general ~~ place ~ ambience general,TAD
1053543:2,"Their sake list was extensive , but we were looking for Purple Haze , which wasn ' t listed but made for us upon request !",NULL ~ service general ~~ sake list ~ drinks style_options,TAD
1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",spicy tuna roll ~ food quality ~~ rock shrimp tempura ~ food quality,TAD
1053543:4,We went around 9 : 30 on a Friday and it had died down a bit by then so the service was great !,service ~ service general,TAD
1055910:0,we love th pink pony .,pink pony ~ restaurant general,TAD
1055910:1,THe perfect spot .,spot ~ restaurant general,TAD
1055910:2,Food - awesome .,Food ~ food quality,TAD
1055910:3,Service - friendly and attentive .,Service ~ service general,TAD
