prefix,input_text,target_text
TASD,"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto","The review expressed neutral opinion on service general for service , negative opinion on food quality for plats , negative opinion on food quality for sauces , neutral opinion on restaurant prices for NULL , negative opinion on food quality for NULL , negative opinion on restaurant general for resto"
TASD,"Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service.","The review expressed positive opinion on ambience general for ambiance , positive opinion on location general for promenade , positive opinion on service general for service"
TASD,Nous reviendrons!,The review expressed positive opinion on restaurant general for NULL
TASD,"on s'attendait à mieux (attente, qualité moyenne).","The review expressed negative opinion on service general for attente , negative opinion on food quality for NULL"
TASD,"Pas mal, mais sans plus.",The review expressed neutral opinion on restaurant general for NULL
TASD,Nous ne pensons pas y retourner,The review expressed negative opinion on restaurant general for NULL
TASD,Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire,"The review expressed positive opinion on restaurant general for adresse , positive opinion on location general for vue , positive opinion on food quality for cuisine , positive opinion on service general for service"
TASD,"Une petite dame nous accueille sans le sourire mais surtout sans enthousiasme, ça devait l'énerver d'avoir des clients un mardi soir .... 3 tables.",The review expressed negative opinion on service general for NULL
TASD,"On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !","The review expressed negative opinion on food quality for lasagnes , negative opinion on food quality for fromage , negative opinion on food quality for concentré de tomates"
TASD,Dessert tout sauf maison .... !,The review expressed negative opinion on food quality for Dessert
TASD,"Je ne conseille vraiment pas, même si votre frigo est vide et que les autres restau d'à côté sont pleins et que vous ne savez pas où aller .....",The review expressed negative opinion on restaurant general for NULL
TASD,Vraiment très agréablement surpris!,The review expressed positive opinion on restaurant general for NULL
TASD,Le menu du jour est très bon et bien servi!,"The review expressed positive opinion on food quality for menu du jour , positive opinion on service general for NULL"
TASD,"toujours très original, on y goutte des plats qu'on ne verra pas autre part.","The review expressed positive opinion on restaurant miscellaneous for NULL , positive opinion on food style_options for plats"
TASD,"La table des desserts donne vraiment envie, on vous y coupe une bonne part de tarte gourmande ou de gâteau frais, fait maison!","The review expressed positive opinion on food style_options for table des desserts , positive opinion on food quality for tarte gourmande , positive opinion on food quality for gâteau"
TASD,On se sent un peu comme à la maison avec la qualité bien relevée!,"The review expressed positive opinion on ambience general for NULL , positive opinion on food quality for NULL"
TASD,Et l'équipe est adorable!,The review expressed positive opinion on service general for équipe
TASD,Y aller également pour la terrasse qui est très jolie!,The review expressed positive opinion on ambience general for terrasse
TASD,concept étonnant au départ mais très éfficace car la cuisine est bonne et l'endroit convivial!! le tartare est excélent et les frites maison sont a volonté pour un prix tout a fait convenable!,"The review expressed positive opinion on restaurant miscellaneous for NULL , positive opinion on food quality for cuisine , positive opinion on ambience general for endroit , positive opinion on food quality for tartare , positive opinion on food quality for frites , positive opinion on food prices for NULL , positive opinion on food style_options for frites"
TASD,très bien,The review expressed positive opinion on restaurant general for NULL
TASD,2 heures dattentes minumum aucun service et patronne execrable !,"The review expressed negative opinion on service general for attentes , negative opinion on service general for service , negative opinion on service general for patronne"
TASD,Tellement decu a deconseiller vivement !!,The review expressed negative opinion on restaurant general for NULL
TASD,"Les anciens patrons navaient rien avoir, la patronne ny connait rien de rien en restauration",The review expressed negative opinion on restaurant general for NULL
TASD,"situé dans la petite Venise avec terrasse au bord de l'eau, l'endroit semblait idéal pour cette journée passée à Colmar.","The review expressed positive opinion on ambience general for terrasse au bord de l'eau , positive opinion on location general for endroit"
TASD,"Puis nous avons été, disons, surpris par l'accueil.",The review expressed negative opinion on service general for accueil
TASD,Un personnage assez dédaigneux nous a accueillis à contre cœur au vu de son attitude.,The review expressed negative opinion on service general for NULL
TASD,"Même si le repas fut assez copieux et bon, nous avons pas pris autant de plaisir que le lieu nous laissait espéré.","The review expressed positive opinion on food style_options for repas , positive opinion on food quality for repas , negative opinion on restaurant general for lieu"
TASD,"Hormis ce personnage, les autres personnes de ce restaurants furent courtoises et très affables.. dommage",The review expressed positive opinion on service general for NULL
TASD,Au début c'était pas mal du tout puis petit à petit ca a baissé en qualité sans arrêts !,The review expressed negative opinion on restaurant general for NULL
TASD,"Le service est moyen, les plats également et les prix sont élevés par rapport à la qualité et à la quantité","The review expressed negative opinion on service general for service , negative opinion on food quality for plats , negative opinion on restaurant prices for NULL , negative opinion on food style_options for plats"
TASD,"Nous sommes habitués de l'établissement depuis 3ans, et le restaurant ne fais que s'améliorer.",The review expressed positive opinion on restaurant general for restaurant
TASD,"La cuisine est travaillée et change régulièrement, le service est très professionnel, attentionné et charmant.","The review expressed positive opinion on food quality for cuisine , positive opinion on food style_options for cuisine , positive opinion on service general for service"
TASD,Jamais déçus depuis 3 ans.,The review expressed positive opinion on restaurant general for NULL
TASD,Continuez !,The review expressed positive opinion on restaurant general for NULL
TASD,Nous y sommes allés par hasard et n'avons pas été déçus!,The review expressed positive opinion on restaurant general for NULL
TASD,La chaleur de l'établissement et des serveurs contribuent à un bien-être certain!!,"The review expressed positive opinion on ambience general for établissement , positive opinion on service general for serveurs"
TASD,"Malgré le monde présent, nous avons été rapidement servis.",The review expressed positive opinion on service general for NULL
TASD,La nourriture et le vin proposé étaient succulents.,"The review expressed positive opinion on food quality for nourriture , positive opinion on drinks quality for vin"
TASD,Nous y retournerons!,The review expressed positive opinion on restaurant general for NULL
TASD,Accueil minable !,The review expressed negative opinion on service general for Accueil
TASD,Attente interminable !,The review expressed negative opinion on service general for Attente
TASD,Premier plat servi : insectes présents !,The review expressed negative opinion on restaurant miscellaneous for NULL
TASD,Nous alertons le personnel qui rejette la faute sur nous (insectes venant de l'extérieur).,The review expressed negative opinion on service general for personnel
TASD,Deuxième plat servi : encore des INSECTES.,The review expressed negative opinion on restaurant miscellaneous for NULL
TASD,Je déconseille fortement !,The review expressed negative opinion on restaurant general for NULL
TASD,Celui-ci était d'un excellent rapport qualité/prix et très bon en plus.,"The review expressed positive opinion on food quality for NULL , positive opinion on food prices for NULL"
TASD,L'accueil fait par la patronne est toujours souriant et sympathique et le service dynamique et professionnel.,"The review expressed positive opinion on service general for accueil , positive opinion on service general for NULL"
TASD,Connaissant bien la cuisine de son mari je ne suis pas étonné de la qualité du plat du jour.,"The review expressed positive opinion on food quality for plat du jour. , positive opinion on food quality for cuisine"
TASD,"Le cadre vient d'être rafraichi il y a quelques semaines et la maison à colombage qui abrite le restaurant a été rénovée également, bref : Que du positif.","The review expressed positive opinion on ambience general for cadre , positive opinion on ambience general for maison à colombage , positive opinion on restaurant general for NULL"
TASD,"Petit restaurant au décor soigné, aux tables bien mises.",The review expressed positive opinion on ambience general for décor
