input_text_ids,input_text,target_text,prefix
1004293:0,"Judging from previous posts this used to be a good place , but not any longer . </s>",The review expressed [negative] opinion on [restaurant general] for [place] </s>,TASD
1004293:1,"We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . </s>",The review expressed [negative] opinion on [service general] for [staff] </s>,TASD
1004293:2,"They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table . </s>",The review expressed [negative] opinion on [service general] for [NULL] </s>,TASD
1004293:3,The food was lousy - too sweet or too salty and the portions tiny . </s>,"The review expressed [negative] opinion on [food quality] for [food], [negative] opinion on [food style_options] for [portions] </s>",TASD
1004293:4,"After all that , they complained to me about the small tip . </s>",The review expressed [negative] opinion on [service general] for [NULL] </s>,TASD
1004293:5,Avoid this place ! </s>,The review expressed [negative] opinion on [restaurant general] for [place] </s>,TASD
1014458:0,"I have eaten at Saul , many times , the food is always consistently , outrageously good . </s>",The review expressed [positive] opinion on [food quality] for [food] </s>,TASD
1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn . </s>,The review expressed [positive] opinion on [restaurant general] for [Saul] </s>,TASD
1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world . </s>,"The review expressed [positive] opinion on [food quality] for [duck confit], [positive] opinion on [food quality] for [foie gras terrine with figs] </s>",TASD
1014458:3,The wine list is interesting and has many good values . </s>,"The review expressed [positive] opinion on [drinks style_options] for [wine list], [positive] opinion on [drinks prices] for [wine list] </s>",TASD
1014458:4,"For the price , you cannot eat this well in Manhattan . </s>","The review expressed [positive] opinion on [food quality] for [NULL], [positive] opinion on [restaurant prices] for [NULL] </s>",TASD
1016296:0,I was very disappointed with this restaurant . </s>,The review expressed [negative] opinion on [restaurant general] for [restaurant] </s>,TASD
1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away . </s>,The review expressed [negative] opinion on [service general] for [cart attendant] </s>,TASD
1016296:2,I had to ask her three times before she finally came back with the dish Ive requested . </s>,The review expressed [negative] opinion on [service general] for [NULL] </s>,TASD
1016296:3,"Food was okay , nothing great . </s>",The review expressed [neutral] opinion on [food quality] for [Food] </s>,TASD
1016296:4,Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . </s>,"The review expressed [negative] opinion on [food quality] for [Chow fun], [negative] opinion on [food quality] for [pork shu mai], [negative] opinion on [restaurant miscellaneous] for [NULL] </s>",TASD
1016296:5,I / we will never go back to this place again . </s>,The review expressed [negative] opinion on [restaurant general] for [place] </s>,TASD
1028246:0,"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great ! </s>",The review expressed [positive] opinion on [restaurant general] for [Fish] </s>,TASD
1028246:1,"Service was devine , oysters where a sensual as they come , and the price can ' t be beat ! ! ! </s>","The review expressed [positive] opinion on [service general] for [Service], [positive] opinion on [food quality] for [oysters], [positive] opinion on [restaurant prices] for [NULL] </s>",TASD
1028246:2,You can ' t go wrong here . </s>,The review expressed [positive] opinion on [restaurant general] for [NULL] </s>,TASD
1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street . </s>,The review expressed [positive] opinion on [restaurant general] for [Restaurant Saul] </s>,TASD
1032695:1,"Everything is always cooked to perfection , the service is excellent , the decor cool and understated . </s>","The review expressed [positive] opinion on [service general] for [service], [positive] opinion on [food quality] for [NULL], [positive] opinion on [ambience general] for [decor] </s>",TASD
1032695:2,I had the duck breast special on my last visit and it was incredible . </s>,The review expressed [positive] opinion on [food quality] for [duck breast special] </s>,TASD
1032695:3,Can ' t wait wait for my next visit . </s>,The review expressed [positive] opinion on [restaurant general] for [NULL] </s>,TASD
1041457:1,And I hate to say this but I doubt I ' ll ever go back . </s>,The review expressed [negative] opinion on [restaurant general] for [NULL] </s>,TASD
1041457:2,"The food is very average . . . the Thai fusion stuff is a bit too sweet , every thing they serve is too sweet here . </s>","The review expressed [negative] opinion on [food quality] for [food], [negative] opinion on [food quality] for [Thai fusion stuff] </s>",TASD
1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree . </s>,The review expressed [positive] opinion on [food quality] for [Grilled Chicken special with Edamame Puree] </s>,TASD
1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty ( could ' ve used a bit more salt ) . </s>,"The review expressed [positive] opinion on [food quality] for [Edamame pureed], [positive] opinion on [food style_options] for [Edamame pureed] </s>",TASD
1041457:6,"The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern . </s>","The review expressed [positive] opinion on [ambience general] for [decor], [negative] opinion on [ambience general] for [vent], [negative] opinion on [ambience general] for [place] </s>",TASD
1053543:2,"Their sake list was extensive , but we were looking for Purple Haze , which wasn ' t listed but made for us upon request ! </s>","The review expressed [positive] opinion on [service general] for [NULL], [positive] opinion on [drinks style_options] for [sake list] </s>",TASD
1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share ! </s>","The review expressed [positive] opinion on [food quality] for [spicy tuna roll], [positive] opinion on [food quality] for [rock shrimp tempura] </s>",TASD
1053543:4,We went around 9 : 30 on a Friday and it had died down a bit by then so the service was great ! </s>,The review expressed [positive] opinion on [service general] for [service] </s>,TASD
1055910:0,we love th pink pony . </s>,The review expressed [positive] opinion on [restaurant general] for [pink pony] </s>,TASD
1055910:1,THe perfect spot . </s>,The review expressed [positive] opinion on [restaurant general] for [spot] </s>,TASD
1055910:2,Food - awesome . </s>,The review expressed [positive] opinion on [food quality] for [NULL] </s>,TASD
1055910:3,Service - friendly and attentive . </s>,The review expressed [positive] opinion on [service general] for [NULL] </s>,TASD
1055910:4,Ambiance - relaxed and stylish . </s>,The review expressed [positive] opinion on [ambience general] for [NULL] </s>,TASD
1055910:5,"Don ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart . </s>",The review expressed [positive] opinion on [restaurant general] for [place] </s>,TASD
1058221:2,the food is decent . </s>,The review expressed [neutral] opinion on [food quality] for [food] </s>,TASD
1058221:3,"however , it ' s the service that leaves a bad taste in my mouth . </s>",The review expressed [negative] opinion on [service general] for [service] </s>,TASD
1058221:4,"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check . </s>",The review expressed [negative] opinion on [service general] for [waiter] </s>,TASD
1058221:5,"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience . </s>",The review expressed [negative] opinion on [service general] for [NULL] </s>,TASD
1058221:6,"well , i didn ' t find it there , and trust , i have told everyone i can think of about my experience . </s>",The review expressed [negative] opinion on [restaurant general] for [NULL] </s>,TASD
1058221:7,the last time i walked by it looked pretty empty . hmmm . </s>,The review expressed [negative] opinion on [restaurant miscellaneous] for [NULL] </s>,TASD
1062641:0,This place has got to be the best japanese restaurant in the new york area . </s>,The review expressed [positive] opinion on [restaurant general] for [place] </s>,TASD
1062641:1,I had a great experience . </s>,The review expressed [positive] opinion on [restaurant general] for [NULL] </s>,TASD
1062641:2,Food is great . </s>,The review expressed [positive] opinion on [food quality] for [Food] </s>,TASD
1062641:3,Service is top notch . </s>,The review expressed [positive] opinion on [service general] for [Service] </s>,TASD
1062641:4,I have been going back again and again . </s>,The review expressed [positive] opinion on [restaurant general] for [NULL] </s>,TASD
1064477:0,"I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose . </s>",The review expressed [positive] opinion on [food quality] for [sea urchin] </s>,TASD
1064477:1,"It melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery . </s>",The review expressed [positive] opinion on [food quality] for [NULL] </s>,TASD
1064477:2,The sushi seemed pretty fresh and was adequately proportioned . </s>,"The review expressed [positive] opinion on [food quality] for [sushi], [positive] opinion on [food style_options] for [sushi] </s>",TASD
1064477:3,The rice to fish ration was also good - - they didn ' t try to overpack the rice . </s>,The review expressed [positive] opinion on [food style_options] for [rice to fish ration] </s>,TASD
