text_a,text_b,labels
"Judging from previous posts this used to be a good place , but not any longer .",place,1
"Judging from previous posts this used to be a good place , but not any longer .",posts,0
"We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",place,0
"We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",staff,1
"We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",noon,0
"They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",noodles,0
"They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",requests,0
"They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",table,0
"They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",dishes,0
"They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",sugar,0
The food was lousy - too sweet or too salty and the portions tiny .,food,1
The food was lousy - too sweet or too salty and the portions tiny .,portions,1
"After all that , they complained to me about the small tip .",tip,0
Avoid this place !,place,1
"I have eaten at Saul , many times , the food is always consistently , outrageously good .",food,1
"I have eaten at Saul , many times , the food is always consistently , outrageously good .",Saul,0
"I have eaten at Saul , many times , the food is always consistently , outrageously good .",times,0
Saul is the best restaurant on Smith Street and in Brooklyn .,Smith,0
Saul is the best restaurant on Smith Street and in Brooklyn .,Street,0
Saul is the best restaurant on Smith Street and in Brooklyn .,Brooklyn,0
Saul is the best restaurant on Smith Street and in Brooklyn .,restaurant,0
Saul is the best restaurant on Smith Street and in Brooklyn .,Saul,1
The duck confit is always amazing and the foie gras terrine with figs was out of this world .,foie,1
The duck confit is always amazing and the foie gras terrine with figs was out of this world .,gras,1
The duck confit is always amazing and the foie gras terrine with figs was out of this world .,confit,1
The duck confit is always amazing and the foie gras terrine with figs was out of this world .,duck,1
The duck confit is always amazing and the foie gras terrine with figs was out of this world .,world,0
The duck confit is always amazing and the foie gras terrine with figs was out of this world .,figs,1
The wine list is interesting and has many good values .,wine,1
The wine list is interesting and has many good values .,list,1
The wine list is interesting and has many good values .,values,0
"For the price , you cannot eat this well in Manhattan .",Manhattan,0
"For the price , you cannot eat this well in Manhattan .",price,0
I was very disappointed with this restaurant .,restaurant,1
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,attendant,1
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,lotus,0
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,rice,0
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,leaf,0
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,cart,1
I had to ask her three times before she finally came back with the dish Ive requested .,dish,0
I had to ask her three times before she finally came back with the dish Ive requested .,times,0
"Food was okay , nothing great .",Food,1
Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,Chow,1
Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,table,0
Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,shu,1
Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,pork,1
Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,family,0
Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,fun,1
Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,mai,1
I / we will never go back to this place again .,place,1
"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !",trip,0
"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !",closing,0
"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !",place,0
"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !",day,0
"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !",binge,0
"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !",Fish,1
"Service was devine , oysters where a sensual as they come , and the price can ' t be beat ! ! !",t,1
"Service was devine , oysters where a sensual as they come , and the price can ' t be beat ! ! !",price,0
"Service was devine , oysters where a sensual as they come , and the price can ' t be beat ! ! !",devine,0
"Service was devine , oysters where a sensual as they come , and the price can ' t be beat ! ! !",Service,1
"Service was devine , oysters where a sensual as they come , and the price can ' t be beat ! ! !",oysters,1
You can ' t go wrong here .,t,0
Every time in New York I make it a point to visit Restaurant Saul on Smith Street .,Smith,0
Every time in New York I make it a point to visit Restaurant Saul on Smith Street .,Street,0
Every time in New York I make it a point to visit Restaurant Saul on Smith Street .,New,0
Every time in New York I make it a point to visit Restaurant Saul on Smith Street .,York,0
Every time in New York I make it a point to visit Restaurant Saul on Smith Street .,Restaurant,1
Every time in New York I make it a point to visit Restaurant Saul on Smith Street .,Saul,1
Every time in New York I make it a point to visit Restaurant Saul on Smith Street .,point,0
Every time in New York I make it a point to visit Restaurant Saul on Smith Street .,time,0
"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",perfection,0
"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",service,1
"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",cool,0
"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",decor,1
I had the duck breast special on my last visit and it was incredible .,visit,0
I had the duck breast special on my last visit and it was incredible .,duck,1
I had the duck breast special on my last visit and it was incredible .,breast,1
Can ' t wait wait for my next visit .,visit,0
Can ' t wait wait for my next visit .,t,0
"The food is very average . . . the Thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",stuff,1
"The food is very average . . . the Thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",food,1
"The food is very average . . . the Thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",Thai,1
"The food is very average . . . the Thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",thing,0
"The food is very average . . . the Thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",bit,0
"The food is very average . . . the Thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",fusion,1
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,Grilled,1
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,Chicken,1
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,Edamame,1
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,thing,0
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,Puree,1
I had never had Edamame pureed before but I thought it was innovative and tasty ( could ' ve used a bit more salt ) .,salt,0
I had never had Edamame pureed before but I thought it was innovative and tasty ( could ' ve used a bit more salt ) .,Edamame,1
I had never had Edamame pureed before but I thought it was innovative and tasty ( could ' ve used a bit more salt ) .,pureed,1
I had never had Edamame pureed before but I thought it was innovative and tasty ( could ' ve used a bit more salt ) .,bit,0
I had never had Edamame pureed before but I thought it was innovative and tasty ( could ' ve used a bit more salt ) .,ve,0
"The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",effort,0
"The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",night,0
"The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",decor,1
"The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",place,1
"The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",tho,0
"The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",vent,1
"The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",ceiling,0
"The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",un,0
"Their sake list was extensive , but we were looking for Purple Haze , which wasn ' t listed but made for us upon request !",t,1
"Their sake list was extensive , but we were looking for Purple Haze , which wasn ' t listed but made for us upon request !",request,0
"Their sake list was extensive , but we were looking for Purple Haze , which wasn ' t listed but made for us upon request !",wasn,0
"Their sake list was extensive , but we were looking for Purple Haze , which wasn ' t listed but made for us upon request !",Haze,0
"Their sake list was extensive , but we were looking for Purple Haze , which wasn ' t listed but made for us upon request !",sake,1
"Their sake list was extensive , but we were looking for Purple Haze , which wasn ' t listed but made for us upon request !",list,1
"Their sake list was extensive , but we were looking for Purple Haze , which wasn ' t listed but made for us upon request !",Purple,0
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",tempura,1
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",tuna,1
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",roll,1
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",shrimp,1
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",rock,1
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",appetizer,0
We went around 9 : 30 on a Friday and it had died down a bit by then so the service was great !,service,1
We went around 9 : 30 on a Friday and it had died down a bit by then so the service was great !,bit,0
We went around 9 : 30 on a Friday and it had died down a bit by then so the service was great !,Friday,0
we love th pink pony .,pony,1
THe perfect spot .,spot,1
Food - awesome .,Food,1
Service - friendly and attentive .,Service,1
Ambiance - relaxed and stylish .,Ambiance,1
"Don ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",prima,0
"Don ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",t,0
"Don ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",home,0
"Don ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",place,1
"Don ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",heart,0
"Don ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",Don,0
the food is decent .,food,1
"however , it ' s the service that leaves a bad taste in my mouth .",service,1
"however , it ' s the service that leaves a bad taste in my mouth .",mouth,0
"however , it ' s the service that leaves a bad taste in my mouth .",taste,0
"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",policy,0
"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",.,0
"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",check,0
"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",waiter,1
"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",water,0
"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",respect,0
"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",trivialities,0
"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",bit,0
"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",self,0
"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",e,1
"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .",company,0
"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .",agenda,0
"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .",m,0
"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .",tee,0
"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .",friends,0
"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .",experience,0
"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .",shirt,0
"well , i didn ' t find it there , and trust , i have told everyone i can think of about my experience .",experience,0
"well , i didn ' t find it there , and trust , i have told everyone i can think of about my experience .",t,0
"well , i didn ' t find it there , and trust , i have told everyone i can think of about my experience .",didn,0
"well , i didn ' t find it there , and trust , i have told everyone i can think of about my experience .",trust,0
the last time i walked by it looked pretty empty . hmmm .,time,0
This place has got to be the best japanese restaurant in the new york area .,new,0
This place has got to be the best japanese restaurant in the new york area .,place,1
This place has got to be the best japanese restaurant in the new york area .,york,0
This place has got to be the best japanese restaurant in the new york area .,area,0
This place has got to be the best japanese restaurant in the new york area .,restaurant,0
I had a great experience .,experience,0
Food is great .,Food,1
Service is top notch .,Service,1
Service is top notch .,notch,0
"I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .",urchin,1
"I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .",restaurant,0
"I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .",sea,1
"I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .",sushi,0
"It melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .",buttery,0
"It melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .",mouth,0
"It melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .",consistency,0
The sushi seemed pretty fresh and was adequately proportioned .,sushi,1
The rice to fish ration was also good - - they didn ' t try to overpack the rice .,rice,1
The rice to fish ration was also good - - they didn ' t try to overpack the rice .,ration,1
The rice to fish ration was also good - - they didn ' t try to overpack the rice .,didn,0
