input_text_ids,input_text,target_text,prefix
1004293:0,"Judging from previous posts this used to be a good place , but not any longer .",The review expressed opinion on [restaurant general],AD
1004293:1,"We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",The review expressed opinion on [service general],AD
1004293:2,"They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",The review expressed opinion on [service general],AD
1004293:3,The food was lousy - too sweet or too salty and the portions tiny .,"The review expressed opinion on [food quality], opinion on [food style_options]",AD
1004293:4,"After all that , they complained to me about the small tip .",The review expressed opinion on [service general],AD
1004293:5,Avoid this place !,The review expressed opinion on [restaurant general],AD
1014458:0,"I have eaten at Saul , many times , the food is always consistently , outrageously good .",The review expressed opinion on [food quality],AD
1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn .,The review expressed opinion on [restaurant general],AD
1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world .,"The review expressed opinion on [food quality], opinion on [food quality]",AD
1014458:3,The wine list is interesting and has many good values .,"The review expressed opinion on [drinks style_options], opinion on [drinks prices]",AD
1014458:4,"For the price , you cannot eat this well in Manhattan .","The review expressed opinion on [food quality], opinion on [restaurant prices]",AD
1016296:0,I was very disappointed with this restaurant .,The review expressed opinion on [restaurant general],AD
1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,The review expressed opinion on [service general],AD
1016296:2,I had to ask her three times before she finally came back with the dish Ive requested .,The review expressed opinion on [service general],AD
1016296:3,"Food was okay , nothing great .",The review expressed opinion on [food quality],AD
1016296:4,Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,"The review expressed opinion on [food quality], opinion on [food quality], opinion on [restaurant miscellaneous]",AD
1016296:5,I / we will never go back to this place again .,The review expressed opinion on [restaurant general],AD
1028246:0,"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !",The review expressed opinion on [restaurant general],AD
1028246:1,"Service was devine , oysters where a sensual as they come , and the price can ' t be beat ! ! !","The review expressed opinion on [service general], opinion on [food quality], opinion on [restaurant prices]",AD
1028246:2,You can ' t go wrong here .,The review expressed opinion on [restaurant general],AD
1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street .,The review expressed opinion on [restaurant general],AD
1032695:1,"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .","The review expressed opinion on [service general], opinion on [food quality], opinion on [ambience general]",AD
1032695:2,I had the duck breast special on my last visit and it was incredible .,The review expressed opinion on [food quality],AD
1032695:3,Can ' t wait wait for my next visit .,The review expressed opinion on [restaurant general],AD
1041457:1,And I hate to say this but I doubt I ' ll ever go back .,The review expressed opinion on [restaurant general],AD
1041457:2,"The food is very average . . . the Thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .","The review expressed opinion on [food quality], opinion on [food quality]",AD
1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,The review expressed opinion on [food quality],AD
1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty ( could ' ve used a bit more salt ) .,"The review expressed opinion on [food quality], opinion on [food style_options]",AD
1041457:6,"The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .","The review expressed opinion on [ambience general], opinion on [ambience general], opinion on [ambience general]",AD
1053543:2,"Their sake list was extensive , but we were looking for Purple Haze , which wasn ' t listed but made for us upon request !","The review expressed opinion on [service general], opinion on [drinks style_options]",AD
1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !","The review expressed opinion on [food quality], opinion on [food quality]",AD
1053543:4,We went around 9 : 30 on a Friday and it had died down a bit by then so the service was great !,The review expressed opinion on [service general],AD
