prefix,input_text,target_text
ASD,But the staff was so horrible to us.,The review expressed [negative] opinion on [service]
ASD,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","The review expressed [negative] opinion on [anecdotes], [positive] opinion on [food]"
ASD,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",The review expressed [positive] opinion on [food]
ASD,Where Gabriela personaly greets you and recommends you what to eat.,The review expressed [positive] opinion on [service]
ASD,"For those that go once and don't enjoy it, all I can say is that they just don't get it.",The review expressed [positive] opinion on [anecdotes]
ASD,"Not only was the food outstanding, but the little 'perks' were great.","The review expressed [positive] opinion on [food], [positive] opinion on [service]"
ASD,It is very overpriced and not very tasty.,"The review expressed [negative] opinion on [price], [negative] opinion on [food]"
ASD,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"The review expressed [positive] opinion on [food], [positive] opinion on [service]"
ASD,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",The review expressed [positive] opinion on [food]
ASD,Nevertheless the food itself is pretty good.,The review expressed [positive] opinion on [food]
ASD,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.",The review expressed [neutral] opinion on [ambience]
ASD,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",The review expressed [negative] opinion on [food]
ASD,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",The review expressed [conflict] opinion on [service]
ASD,The design and atmosphere is just as good.,The review expressed [positive] opinion on [ambience]
ASD,He has visited Thailand and is quite expert on the cuisine.,The review expressed [positive] opinion on [food]
ASD,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,The review expressed [positive] opinion on [anecdotes]
ASD,The pizza is the best if you like thin crusted pizza.,The review expressed [positive] opinion on [food]
ASD,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,The review expressed [positive] opinion on [anecdotes]
ASD,"He can't help, they're bought up so fast.",The review expressed [neutral] opinion on [anecdotes]
ASD,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",The review expressed [negative] opinion on [ambience]
ASD,"i have eaten here a handful of times, for no reason besides sheer convenience.",The review expressed [neutral] opinion on [anecdotes]
ASD,Obviously run by folks who know a pie.,The review expressed [positive] opinion on [service]
ASD,We were very disappointed.,The review expressed [negative] opinion on [anecdotes]
ASD,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,"The review expressed [positive] opinion on [price], [positive] opinion on [anecdotes]"
ASD,I really liked this place.,The review expressed [positive] opinion on [anecdotes]
ASD,I will be going back very soon.,The review expressed [positive] opinion on [anecdotes]
ASD,"All the money went into the interior decoration, none of it went to the chefs.","The review expressed [negative] opinion on [food], [positive] opinion on [ambience]"
ASD,The seats are uncomfortable if you are sitting against the wall on wooden benches.,The review expressed [negative] opinion on [ambience]
ASD,"I asked for seltzer with lime, no ice.",The review expressed [neutral] opinion on [food]
ASD,It was pretty inexpensive too.,The review expressed [positive] opinion on [price]
ASD,Will not be back.,The review expressed [negative] opinion on [anecdotes]
ASD,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",The review expressed [positive] opinion on [food]
ASD,My suggestion is to eat family style because you'll want to try the other dishes.,The review expressed [neutral] opinion on [food]
