input_text_ids,input_text,target_text,prefix
1004293:0,"Judging from previous posts this used to be a good place , but not any longer .",place,TD
1004293:1,"We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",staff,TD
1004293:2,"They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",NULL,TD
1004293:3,The food was lousy - too sweet or too salty and the portions tiny .,food ~~ portions,TD
1004293:4,"After all that , they complained to me about the small tip .",NULL,TD
1004293:5,Avoid this place !,place,TD
1014458:0,"I have eaten at Saul , many times , the food is always consistently , outrageously good .",food,TD
1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn .,Saul,TD
1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world .,duck confit ~~ foie gras terrine with figs,TD
1014458:3,The wine list is interesting and has many good values .,wine list ~~ wine list,TD
1014458:4,"For the price , you cannot eat this well in Manhattan .",NULL ~~ NULL,TD
1016296:0,I was very disappointed with this restaurant .,restaurant,TD
1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,cart attendant,TD
1016296:2,I had to ask her three times before she finally came back with the dish Ive requested .,NULL,TD
1016296:3,"Food was okay , nothing great .",Food,TD
1016296:4,Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,Chow fun ~~ pork shu mai ~~ NULL,TD
1016296:5,I / we will never go back to this place again .,place,TD
1028246:0,"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !",Fish,TD
1028246:1,"Service was devine , oysters where a sensual as they come , and the price can ' t be beat ! ! !",Service ~~ oysters ~~ NULL,TD
1028246:2,You can ' t go wrong here .,NULL,TD
1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street .,Restaurant Saul,TD
1032695:1,"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",service ~~ NULL ~~ decor,TD
1032695:2,I had the duck breast special on my last visit and it was incredible .,duck breast special,TD
1032695:3,Can ' t wait wait for my next visit .,NULL,TD
1041457:1,And I hate to say this but I doubt I ' ll ever go back .,NULL,TD
1041457:2,"The food is very average . . . the Thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",food ~~ Thai fusion stuff,TD
1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,Grilled Chicken special with Edamame Puree,TD
1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty ( could ' ve used a bit more salt ) .,Edamame pureed ~~ Edamame pureed,TD
1041457:6,"The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",decor ~~ vent ~~ place,TD
1053543:2,"Their sake list was extensive , but we were looking for Purple Haze , which wasn ' t listed but made for us upon request !",NULL ~~ sake list,TD
1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",spicy tuna roll ~~ rock shrimp tempura,TD
1053543:4,We went around 9 : 30 on a Friday and it had died down a bit by then so the service was great !,service,TD
1055910:0,we love th pink pony .,pink pony,TD
1055910:1,THe perfect spot .,spot,TD
1055910:2,Food - awesome .,NULL,TD
1055910:3,Service - friendly and attentive .,NULL,TD
1055910:4,Ambiance - relaxed and stylish .,NULL,TD
1055910:5,"Don ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",place,TD
1058221:2,the food is decent .,food,TD
1058221:3,"however , it ' s the service that leaves a bad taste in my mouth .",service,TD
1058221:4,"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",waiter,TD
1058221:5,"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .",NULL,TD
1058221:6,"well , i didn ' t find it there , and trust , i have told everyone i can think of about my experience .",NULL,TD
1058221:7,the last time i walked by it looked pretty empty . hmmm .,NULL,TD
1062641:0,This place has got to be the best japanese restaurant in the new york area .,place,TD
1062641:1,I had a great experience .,NULL,TD
1062641:2,Food is great .,Food,TD
1062641:3,Service is top notch .,Service,TD
1062641:4,I have been going back again and again .,NULL,TD
1064477:0,"I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .",sea urchin,TD
1064477:1,"It melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .",NULL,TD
1064477:2,The sushi seemed pretty fresh and was adequately proportioned .,sushi ~~ sushi,TD
1064477:3,The rice to fish ration was also good - - they didn ' t try to overpack the rice .,rice to fish ration,TD
1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it .,half price sushi deal,TD
1074868:2,Surprisingly nothing could be further from the truth .,NULL,TD
1074868:3,"In the evening , this place attracted a well dressed , with it , NY crowd .",crowd,TD
1074868:4,The food was well prepared and the service impecable .,service ~~ food,TD
1074868:5,I ' m going back .,NULL,TD
1084394:1,Quite simply it ' s like stepping out of Manhattan and into a haven of tranquility .,NULL,TD
1084394:3,The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .,Prix Fixe menu ~~ Prix Fixe menu ~~ Prix Fixe menu,TD
1084394:4,I will be going back and heartily recommend it !,NULL,TD
1086415:1,"It is terrific , as is the value .",NULL ~~ NULL,TD
1086415:2,"$ 6 and there is much tasty food , all of it fresh and continually refilled .",food ~~ food ~~ food,TD
1086415:3,"I am not a vegetarian but , almost all the dishes were great .",dishes,TD
1086415:5,Go hungry and enjoy .,NULL,TD
1086478:0,"The food here is rather good , but only if you like to wait for it .",NULL ~~ food,TD
1086478:1,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",somosas ~~ chai ~~ chole ~~ dhosas ~~ dhal,TD
1086478:2,"The service varys from day to day - sometimes they ' re very nice , and sometimes not .",service,TD
1086478:3,"The kitchen however , is almost always slow .",kitchen,TD
1086478:4,"Also , specify if you like your food spicy - its rather bland if you don ' t .",food,TD
1086478:5,"The ambience is pretty and nice for conversation , so a casual lunch here would probably be best .",ambience ~~ NULL,TD
1090587:1,If you ' ve ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer .,view,TD
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,service ~~ food ~~ food,TD
1090587:3,The lava cake dessert was incredible and I recommend it .,lava cake dessert,TD
1102681:0,"Once you step into Cosette , you ' re miraculously in a small , off - the - beaten path Parisian bistro .",Cosette,TD
1102681:1,"This tiny restaurant is as cozy as it gets , with that certain Parisian flair .",restaurant,TD
1102681:2,"The food was average to above - average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",food ~~ French Onion soup ~~ desserts ~~ French Onion soup,TD
1102681:3,"However , go for the ambience , and consider the food just a companion for a trip across the world !",food ~~ ambience,TD
1118167:1,IT WAS HORRIBLE .,NULL,TD
1118167:2,The pizza was delivered cold and the cheese wasn ' t even fully melted !,pizza ~~ cheese,TD
1118167:3,It looked like shredded cheese partly done - still in strips .,NULL,TD
1119578:0,This has got to be one of the most overrated restaurants in Brooklyn .,NULL,TD
1119578:1,The pizza is overpriced and soggy .,pizza ~~ pizza,TD
1119578:2,"Yes , they use fancy ingredients , but even fancy ingredients don ' t make for good pizza unless someone knows how to get the crust right .",ingredients ~~ pizza ~~ crust,TD
1119578:3,"A big disappointment , all around .",NULL,TD
1123262:0,I think I ' ve had some the best meals of my life at minnow .,meals,TD
1123262:1,"The seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .",seafood ~~ menu ~~ wine list,TD
1123262:2,The combination of super - fresh ingredients in the dishes are unusual but really delicious .,ingredients,TD
1123262:3,Worth the trip from Manhattan .,NULL,TD
1125006:1,Best Pastrami I ever had and great portion without being ridiculous .,Pastrami ~~ portion,TD
1125006:3,My wife had the fried shrimp which are huge and loved it .,fried shrimp ~~ fried shrimp,TD
1125284:0,"As a Japanese native , I ' ve lived in the Tristate area for over 8 years , but I was just so amazed at this place .",place,TD
1125284:1,This place is the most Japanese it can ever get .,place,TD
1125284:2,"The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .",waitstaff ~~ food ~~ specials menus ~~ signs,TD
1125284:3,This place is worth an one - hour drive .,place,TD
1125284:4,"I am so coming back here again , as much as I can .",NULL,TD
1126814:0,"Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .",Leon ~~ French bistro fare ~~ specials ~~ Leon ~~ atmosphere,TD
1126814:1,"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",staff,TD
1126814:3,Decent wine at reasonable prices .,wine ~~ wine,TD
1126814:4,Have been dozens of times and never failed to enjoy the experience .,NULL,TD
1126814:5,"Our teenage kids love it , too .",NULL,TD
1126886:0,"Everytime I decide to try another place on the UES , I get angry that I didn ' t just go to Zucchero Pomodori .",Zucchero Pomodori,TD
1126886:1,This is by far my favorite place in the neighborhood .,place,TD
1126886:2,"The service is excellent , the decor is great , and the food is delicious and comes in large portions .",service ~~ food ~~ portions ~~ decor,TD
1126886:4,I ' m partial to the Gnocchi .,Gnocchi,TD
1131595:0,This place is incredibly tiny .,place,TD
1131595:1,They refuse to seat parties of 3 or more on weekends .,NULL,TD
1131595:2,The hostess is rude to the point of being offensive .,hostess,TD
1131595:3,The food was bland oily .,food,TD
1131595:4,I just don ' t understand all the hype . . .,NULL,TD
1138996:1,"We have been to this place many times , and always have great food , wine , and service .",service ~~ food ~~ wine,TD
1138996:2,"We were worried we would have trouble getting in , but somehow managed to have a short wait .",wait,TD
1138996:3,As always we had a great glass of wine while we waited .,glass of wine,TD
1138996:4,"When we sat , we got great and fast service .",service,TD
1138996:5,The people that work there are always so friendly you forget you are in New York sometimes .,people,TD
1138996:6,Make sure you try this place as often as you can .,place,TD
1145510:0,This is a fun restaurant to go to .,restaurant,TD
1145510:1,The pizza is yummy and I like the atmoshpere .,pizza ~~ atmoshpere,TD
1145510:2,But the pizza is way to expensive .,pizza,TD
1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read .,lunch,TD
1147082:1,Sauce was watery and the food didn ' t have much flavor .,Sauce ~~ food,TD
1147082:3,I don ' t think I would go again .,NULL,TD
1147211:0,This place is great .,place,TD
1147211:1,I had a huge group for my birthday and we were well taken care of .,NULL,TD
1147211:2,The waitress was very patient with us and the food is phenomenal !,waitress ~~ food,TD
1147211:3,"Service was prompt , friendly and great .",Service,TD
1147211:4,Slightly on the pricey side but worth it !,NULL ~~ NULL,TD
1153034:0,Great pizza and fantastic service .,service ~~ pizza,TD
1153034:1,"There was a small wait , but shorter than I expected .",wait,TD
1153034:2,Located at the end of a magnificent block .,NULL,TD
1153034:3,Very cozy and warm inside . . . . .,NULL,TD
1153034:4,I will be back !,NULL,TD
1154550:0,This is the best sushi in new york city - hands down .,sushi,TD
1154550:1,The place is small and cramped but the food is fantastic .,food ~~ place,TD
1154550:2,Get the tuna of gari .,tuna of gari,TD
1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi , which is great , the thai food is excellent too .",Planet Thailand ~~ sushi ~~ thai food,TD
1162037:1,"With the great variety on the menu , I eat here often and never get bored .",menu,TD
